query_id,query_text,query_group,n_rows,top1_doc_id,top1_title,top1_has_explanation,top1_has_metadata_evidence,top1_has_kg_evidence,top1_has_entity_match,n_results_with_explanation,n_results_with_kg_evidence,n_results_with_metadata_evidence,notes
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,10,FAO_005,Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America,True,True,True,True,10,10,10,
BI_003,surveillance và phân vùng dịch bệnh động vật thủy sản,biosecurity-management,10,FAO_013,Surveillance and zoning for aquatic animal diseases,True,False,False,False,10,0,0,
BI_004,Progressive Management Pathway nuôi trồng an toàn sinh học FAO,biosecurity-management,10,FAO_004,The Progressive Management Pathway for Aquaculture Biosecurity: Guidelines for application,True,True,True,True,10,10,10,
BI_006,phân tích rủi ro nuôi trồng thủy sản áp dụng thực tiễn,biosecurity-management,10,FAO_019,Understanding and applying risk analysis in aquaculture,True,True,True,True,10,10,10,
BI_007,ứng phó khẩn cấp dịch bệnh thủy sản hệ thống quốc gia,biosecurity-management,10,FAO_004,The Progressive Management Pathway for Aquaculture Biosecurity: Guidelines for application,True,False,False,False,10,0,0,
BI_010,sổ tay chẩn đoán bệnh thủy sản châu Á,biosecurity-management,10,FAO_009,Asia diagnostic guide to aquatic animal diseases,True,False,False,False,10,0,0,
DS_001,bệnh AHPND trên tôm,disease-specific,10,TB_005,"Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024",True,True,True,True,10,10,10,
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,10,TB_007,Bệnh đốm trắng ở tôm nuôi và công nghệ nuôi tôm nhằm phòng bệnh đốm trắng,True,True,True,True,10,10,10,
DS_003,infectious myonecrosis,disease-specific,10,FAO_010,Shrimp infectious myonecrosis strategy manual,True,True,True,True,10,10,10,
DS_006,bệnh vi bào tử trùng gan tụy EHP trên tôm,disease-specific,10,PMC_003,Ecytonucleospora hepatopenaei (EHP) disease prevalence and mortality in Litopenaeus vannamei: a comparative study from Eastern India shrimp farms,True,True,True,True,10,10,10,
DS_007,bệnh do Vibrio parahaemolyticus trên tôm thẻ,disease-specific,10,TCTS_001,Các bệnh thường gặp trên tôm nước lợ và biện pháp phòng chống hiệu quả,True,True,False,True,10,4,10,
DS_010,tình hình AHPND trên tôm nuôi ở Philippines,disease-specific,10,SEAFDEC_006,Status of acute hepatopancreatic necrosis disease (AHPND) of cultured shrimps in the Philippines,True,True,True,True,10,10,10,
HM_001,production mode trại giống tôm thẻ chân trắng,hatchery-production-mode,10,FAO_005,Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America,True,True,True,True,10,10,10,
HM_002,tài liệu về trại giống tôm sú ở Ấn Độ,hatchery-production-mode,10,FAO_002,Improving Penaeus monodon hatchery practices. Manual based on experience in India.,True,True,True,True,10,7,8,
HM_007,trại giống tôm nước mặn quy mô nhỏ Ấn Độ Bangladesh,hatchery-production-mode,10,FAO_039,Promotion of Small-scale Shrimp and Prawn Hatcheries in India and Bangladesh - BOBP/REP/66,True,True,True,True,10,3,5,
HM_010,broodstock và post-larvae tôm thẻ trong trại giống probiotics,hatchery-production-mode,10,PMC_036,Microbiome of Penaeus vannamei Larvae and Potential Biomarkers Associated With High and Low Survival in Shrimp Hatchery Tanks Affected by Acute Hepatopancreatic Necrosis Disease,True,True,False,True,10,0,10,
LO_001,nuôi tôm hùm ở Khánh Hòa,local,10,RIA3_001,Quy hoạch nuôi tôm hùm đến năm 2020 và định hướng đến 2030,True,True,True,True,10,3,4,
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,10,TB_005,"Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024",True,True,True,True,10,10,10,
LO_003,thực trạng môi trường và dịch bệnh nuôi tôm cát Thạch Hà Cẩm Xuyên Nghi Xuân Hà Tĩnh,local,10,TCKHTS_001,"Thực trạng môi trường và dịch bệnh tại vùng nuôi tôm trên cát ở Thạch Hà, Cẩm Xuyên và Nghi Xuân, Hà Tĩnh",True,True,False,True,10,0,2,
